concept_id,description,target,sha_code,srhr_code,base_confidence,alt_sha_code,rationale
SALARIES,Staff salaries,NO_TARGET,,,,,"Input cost (what was bought), not a function; needs staffing/functional allocation data before it can be assigned to HC.x"
OPERATING_GENERIC,Generic operating costs,NO_TARGET,,,,,"Catch-all operating budget line; no functional information"
COMMS,Communication supplies,NO_TARGET,,,,,"Generic overhead; not health-specific"
TRAVEL,Domestic travel,NO_TARGET,,,,,"Generic overhead; not health-specific"
PRINTING_OFFICE,Printing / stationery / office supplies,NO_TARGET,,,,,"Generic overhead; allocation to HC.7 needs an SME-agreed rule (e.g. only when booked to the health ministry)"
FUEL,Fuel (generic),NO_TARGET,,,,,"Generic input; no indication of health use"
CONSTRUCTION,Construction of health facilities,NO_TARGET,,,,,"Capital formation - outside the supplied HC function list (SHA capital account is separate)"
AMBULANCES,Ambulance / vehicle purchase,NO_TARGET,,,,,"Capital formation - outside the supplied HC function list"
VEHICLE_REPAIR,Vehicle repair,NO_TARGET,,,,,"Maintenance of transport assets; no supplied HC target"
TRAINING,Training sessions,NO_TARGET,,,,,"Health-workforce training is outside the supplied HC list"
MEDICINES,Medicines (general),MAPPABLE,HC.5.1,SRHR.NA,0.80,,"Pharmaceuticals; general essential-medicines list cannot be attributed to SRHR without item-level data"
CONTRACEPTIVES,Contraceptives / FP commodities,MAPPABLE,HC.5.1,SRHR.FP,0.90,,"Pharmaceutical commodity with explicit family-planning purpose"
VACCINES,Vaccines (incl. cold chain),MAPPABLE,HC.6.2,SRHR.NA,0.90,,"Immunisation programme inputs; HPV vaccine share (SRHR.RC/AH) not separable"
IMMUNISATION_OUTREACH,Immunisation outreach,MAPPABLE,HC.6.2,SRHR.NA,0.90,,"Immunisation programme delivery"
HIV_COMMODITIES,HIV test kits and ARVs,MAPPABLE,HC.5.1,SRHR.HIV,0.65,HC.6.3,"Line mixes ARVs (medical goods, HC.5.1) and test kits (early detection, HC.6.3) - SHA split ambiguous"
MATERNITY_KITS,Maternity / delivery kits,MAPPABLE,HC.5.1,SRHR.MH,0.65,HC.1.1,"Consumable kits: medical goods (HC.5.1) vs delivery care inputs (HC.1.1) - ambiguous"
MED_CONSUMABLES,General medical consumables,MAPPABLE,HC.5.1,SRHR.NA,0.50,HC.5.2,"Supplied HC list has no 'consumables' category; nearest are HC.5.1 / HC.5.2"
LAB_REAGENTS,Laboratory reagents,MAPPABLE,HC.4,SRHR.NA,0.80,,"Diagnostic inputs -> ancillary services"
ANC_OUTREACH,Antenatal outreach,MAPPABLE,HC.6.4,SRHR.MH,0.65,HC.1.3,"Antenatal outreach: monitoring programme (HC.6.4) vs outpatient care (HC.1.3) - SHA boundary ambiguous"
MATERNAL_AWARENESS,Maternal-health awareness campaigns,MAPPABLE,HC.6.1,SRHR.MH,0.85,,"Information/education programme on maternal health"
HIV_AWARENESS,HIV/AIDS awareness campaigns,MAPPABLE,HC.6.1,SRHR.HIV,0.85,,"Information/education programme on HIV"
ADOLESCENT_SRH,Adolescent SRH counselling,MAPPABLE,HC.6.1,SRHR.AH,0.80,,"Counselling / education aimed at adolescents"
CERVICAL_SCREENING,Cervical cancer screening,MAPPABLE,HC.6.3,SRHR.RC,0.90,,"Early disease detection; reproductive cancer"
SGBV,SGBV survivor support,MAPPABLE,HC.1.3,SRHR.SGBV,0.60,HC.6.1,"Psychosocial/clinical support (HC.1.3) vs awareness (HC.6.1) - service mix unknown"
FACILITY_CLEANING,Cleaning of health facilities,MAPPABLE,HC.7,SRHR.NA,0.50,,"Facility support service; SHA treats as provider input - nearest supplied function is HC.7"
FUEL_TRANSPORT_HEALTH,Fuel and transport for health services,MAPPABLE,HC.4,SRHR.NA,0.50,HC.7,"Explicitly health-related transport but could be patient transport (HC.4) or admin (HC.7)"
